ITEM,TITLE,seriesid,DATA_TYPE,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
SEFR01,Sugar and artificial sweeteners,CWSR0000SEFR01,SEASONALLY ADJUSTED INDEX,2016,188.899,190.045,187.576,192.683,189.416,188.348,187.122,188.274,187.392,187.452,187.646,185.539
SEFR01,Sugar and artificial sweeteners,CWSR0000SEFR01,SEASONALLY ADJUSTED INDEX,2017,186.304,185.567,185.645,184.171,187.159,188.508,189.119,188.159,188.954,188.409,187.709,189.232
SEFR01,Sugar and artificial sweeteners,CWSR0000SEFR01,SEASONALLY ADJUSTED INDEX,2018,189.129,186.72,188.345,187.454,187.238,187.252,186.483,186.08,186.279,184.873,184.934,182.571
SEFR01,Sugar and artificial sweeteners,CWSR0000SEFR01,SEASONAL FACTOR,2014,101.037,100.779,99.588,100.05,100.55,100.292,100.636,101.051,100.787,100.071,97.809,97.366
SEFR01,Sugar and artificial sweeteners,CWSR0000SEFR01,SEASONAL FACTOR,2015,100.895,100.717,99.512,100.047,100.578,100.44,100.727,101.163,101.039,100.095,97.729,97.165
SEFR01,Sugar and artificial sweeteners,CWSR0000SEFR01,SEASONAL FACTOR,2016,100.723,100.606,99.421,100.004,100.582,100.591,100.842,101.272,101.243,100.14,97.713,97.077
SEFR01,Sugar and artificial sweeteners,CWSR0000SEFR01,SEASONAL FACTOR,2017,100.544,100.482,99.314,99.907,100.598,100.746,100.876,101.347,101.423,100.171,97.81,96.992
SEFR01,Sugar and artificial sweeteners,CWSR0000SEFR01,SEASONAL FACTOR,2018,100.421,100.347,99.213,99.843,100.601,100.851,100.918,101.411,101.508,100.168,97.866,96.974
SEFR01,Sugar and artificial sweeteners,CWSR0000SEFR01,UNADJUSTED INDEX,2014,186.661,184.333,183.104,180.266,181.509,184.185,181.796,181.914,183.575,179.275,177.912,179.356
SEFR01,Sugar and artificial sweeteners,CWSR0000SEFR01,UNADJUSTED INDEX,2015,187.524,189.292,188.111,190.696,191.505,191.138,193.245,193.335,192.11,190.913,185.459,185.366
SEFR01,Sugar and artificial sweeteners,CWSR0000SEFR01,UNADJUSTED INDEX,2016,190.264,191.196,186.489,192.691,190.519,189.461,188.697,190.668,189.721,187.714,183.354,180.115
SEFR01,Sugar and artificial sweeteners,CWSR0000SEFR01,UNADJUSTED INDEX,2017,187.317,186.461,184.371,184,188.277,189.914,190.777,190.694,191.643,188.73,183.599,183.54
SEFR01,Sugar and artificial sweeteners,CWSR0000SEFR01,UNADJUSTED INDEX,2018,189.925,187.368,186.863,187.16,188.363,188.845,188.195,188.706,189.088,185.184,180.988,177.046
SEFR03,Other sweets,CWSR0000SEFR03,SEASONALLY ADJUSTED INDEX,2014,153.282,153.782,153.877,153.51,153.092,154.259,154.244,154.117,154.801,152.762,152.769,152.275
SEFR03,Other sweets,CWSR0000SEFR03,SEASONALLY ADJUSTED INDEX,2015,153.358,153.477,152.793,152.451,152.831,153.242,153.233,153.357,153.164,152.386,152.786,153.801
SEFR03,Other sweets,CWSR0000SEFR03,SEASONALLY ADJUSTED INDEX,2016,152.132,151.695,151.85,152.495,152.695,152.215,152.157,152.417,149.979,154.554,153.985,154.572
SEFR03,Other sweets,CWSR0000SEFR03,SEASONALLY ADJUSTED INDEX,2017,152.088,153.925,154.627,154.125,154.549,154.371,154.521,154.753,154.193,154.587,155.285,152.958
SEFR03,Other sweets,CWSR0000SEFR03,SEASONALLY ADJUSTED INDEX,2018,154.113,154.181,153.647,153.147,151.218,151.435,151.182,150.194,152.167,150.152,150.049,149.581
SEFR03,Other sweets,CWSR0000SEFR03,SEASONAL FACTOR,2014,100.573,100.596,100.17,100.542,100.357,100.487,100.289,99.732,100.046,99.366,98.793,99.041
SEFR03,Other sweets,CWSR0000SEFR03,SEASONAL FACTOR,2015,100.578,100.647,100.263,100.555,100.263,100.449,100.266,99.642,100.011,99.239,99.05,99.041
SEFR03,Other sweets,CWSR0000SEFR03,SEASONAL FACTOR,2016,100.606,100.679,100.359,100.571,100.159,100.391,100.219,99.565,99.952,99.166,99.314,99.048
SEFR03,Other sweets,CWSR0000SEFR03,SEASONAL FACTOR,2017,100.623,100.697,100.427,100.592,100.094,100.32,100.186,99.467,99.889,99.164,99.513,99.094
SEFR03,Other sweets,CWSR0000SEFR03,SEASONAL FACTOR,2018,100.618,100.669,100.44,100.616,100.097,100.271,100.148,99.408,99.849,99.193,99.612,99.12
SEFR03,Other sweets,CWSR0000SEFR03,UNADJUSTED INDEX,2014,154.16,154.698,154.138,154.343,153.638,155.011,154.69,153.704,154.873,151.793,150.924,150.815
SEFR03,Other sweets,CWSR0000SEFR03,UNADJUSTED INDEX,2015,154.244,154.469,153.195,153.297,153.233,153.93,153.641,152.808,153.181,151.227,151.334,152.326
SEFR03,Other sweets,CWSR0000SEFR03,UNADJUSTED INDEX,2016,153.053,152.725,152.395,153.365,152.937,152.81,152.491,151.754,149.907,153.265,152.928,153.1
SEFR03,Other sweets,CWSR0000SEFR03,UNADJUSTED INDEX,2017,153.036,154.998,155.288,155.038,154.694,154.865,154.808,153.928,154.021,153.294,154.529,151.572
SEFR03,Other sweets,CWSR0000SEFR03,UNADJUSTED INDEX,2018,155.066,155.212,154.324,154.091,151.365,151.845,151.406,149.304,151.937,148.94,149.467,148.264
SEFS,Fats and oils,CWSR0000SEFS,SEASONALLY ADJUSTED INDEX,2014,228.492,229.105,230.986,229.026,229.971,230.288,231.53,231.735,232.389,232.724,231.516,230.363
SEFS,Fats and oils,CWSR0000SEFS,SEASONALLY ADJUSTED INDEX,2015,229.94,229.433,228.12,227.833,227.409,227.744,225.803,227.434,227.625,229.128,227.824,228.973
SEFS,Fats and oils,CWSR0000SEFS,SEASONALLY ADJUSTED INDEX,2016,228.63,228.287,228.219,228.863,226.864,226.777,226.023,225.782,226.107,225.32,222.809,225.359
SEFS,Fats and oils,CWSR0000SEFS,SEASONALLY ADJUSTED INDEX,2017,224.982,225.88,228.264,227.76,229.183,229.103,229.967,228.73,228.875,228.76,228.724,228.61
SEFS,Fats and oils,CWSR0000SEFS,SEASONALLY ADJUSTED INDEX,2018,228.813,229.599,228.862,229.792,228.39,228.072,228.543,228.573,228.242,228.115,228.71,228.234
